Row	Year	Week	N. Hemisphere	Eurasia	N. America	N. America (no Greenland)
1	2026	14	31.80	17.64	14.16	12.01
2	2026	13	34.34	19.94	14.40	12.25
3	2026	12	36.55	22.29	14.26	12.11
4	2026	11	40.05	23.43	16.62	14.47
5	2026	10	40.02	24.87	15.15	13.00
6	2026	9	41.64	26.01	15.62	13.48
7	2026	8	43.61	26.08	17.53	15.38
8	2026	7	42.54	26.98	15.57	13.42
9	2026	6	44.12	28.06	16.06	13.91
10	2026	5	46.39	29.19	17.20	15.05
11	2026	4	49.24	30.00	19.25	17.10
12	2026	3	46.18	29.87	16.30	14.15
13	2026	2	46.01	29.25	16.76	14.61
14	2026	1	46.47	30.37	16.10	13.95
15	2025	52	45.38	28.13	17.25	15.10
16	2025	51	40.54	24.99	15.55	13.41
17	2025	50	42.08	25.47	16.61	14.46
18	2025	49	38.79	21.72	17.08	14.93
19	2025	48	37.73	20.92	16.82	14.67
20	2025	47	34.93	21.71	13.22	11.07
21	2025	46	32.46	19.56	12.90	10.75
22	2025	45	31.86	18.72	13.14	10.99
23	2025	44	24.21	14.87	9.34	7.19
24	2025	43	20.72	12.49	8.23	6.08
25	2025	42	17.96	11.20	6.76	4.61
26	2025	41	16.53	9.54	6.99	4.85
27	2025	40	12.42	7.32	5.10	2.95
28	2025	39	8.15	4.38	3.76	1.62
29	2025	38	6.28	2.86	3.42	1.27
30	2025	37	4.26	1.03	3.23	1.12
31	2025	36	3.63	0.25	3.38	1.27
32	2025	35	3.79	0.17	3.62	1.51
33	2025	34	2.71	0.12	2.59	0.48
34	2025	33	2.71	0.12	2.58	0.47
35	2025	32	2.67	0.12	2.55	0.44
36	2025	31	2.71	0.12	2.59	0.48
37	2025	30	2.67	0.16	2.51	0.40
38	2025	29	2.78	0.16	2.62	0.51
39	2025	28	2.89	0.16	2.73	0.58
40	2025	27	3.30	0.31	2.99	0.84
41	2025	26	3.75	0.38	3.37	1.22
42	2025	25	4.87	0.85	4.03	1.88
43	2025	24	6.87	2.05	4.82	2.67
44	2025	23	9.27	3.68	5.58	3.43
45	2025	22	11.73	5.64	6.09	3.94
46	2025	21	15.05	7.22	7.83	5.68
47	2025	20	17.81	9.02	8.80	6.65
48	2025	19	19.11	9.84	9.27	7.12
49	2025	18	22.51	12.08	10.43	8.28
50	2025	17	25.72	13.60	12.12	9.97
51	2025	16	26.46	13.68	12.78	10.63
52	2025	15	29.30	16.16	13.13	10.98
53	2025	14	31.33	17.14	14.19	12.05
54	2025	13	33.80	19.08	14.73	12.58
55	2025	12	35.89	20.81	15.08	12.93
56	2025	11	39.67	24.26	15.40	13.25
57	2025	10	39.69	23.99	15.69	13.55
58	2025	9	44.14	28.44	15.70	13.55
59	2025	8	45.81	28.94	16.87	14.73
60	2025	7	47.39	29.14	18.25	16.10
61	2025	6	45.06	28.16	16.89	14.74
