site_id,regime,soil_moisture_frac,surface_elevation_cm,distance_to_water_m,vegetation_height_cm,canopy_cover_pct,greenness_index,plant_wetness_score,belowground_carbon_Mg_ha
NEW01,prairie_mesic,0.1068,108.7,101.85,5.97,32.64,0.2173,2.3,12.39
NEW02,prairie_mesic,0.1886,129.93,79.17,54.8,63.82,0.2731,2.4,26.54
NEW03,prairie_mesic,0.3214,78.72,60.32,67.11,79.62,0.4941,3.2,60.49
NEW04,prairie_mesic,0.416,94.99,53.49,75.99,51.49,0.6121,2.6,67.37
NEW05,transition_gap,0.4507,89.64,83.54,105.99,74.03,0.574,4.1,77.82
NEW06,transition_gap,0.5464,83.05,52.47,42.26,39.74,0.4125,3.7,28.81
NEW07,wetland_saturated,0.6132,83.61,20.08,57.41,57.45,0.371,3.0,42.1
NEW08,wetland_saturated,0.7486,60.92,50.1,68.27,75.98,0.5647,4.3,72.21
NEW09,wetland_saturated,0.8953,67.04,11.66,87.63,65.4,0.7777,4.4,140.49
NEW10,wetland_saturated,0.9566,44.58,1.02,110.34,88.39,0.8533,4.8,197.77
