site_id,regime,soil_moisture_frac,surface_elevation_cm,distance_to_water_m,vegetation_height_cm,canopy_cover_pct,greenness_index,plant_wetness_score,belowground_carbon_Mg_ha
S0001,wetland_saturated,0.8252,59.99,0.0,78.29,68.89,0.6739,4.0,108.36
S0002,wetland_saturated,0.8225,60.69,7.02,74.77,59.25,0.7824,5.0,103.17
S0003,wetland_saturated,0.8677,73.92,2.19,103.95,79.97,0.732,4.3,131.26
S0004,wetland_saturated,0.9234,72.95,0.0,94.56,82.33,0.8368,4.1,178.31
S0005,prairie_mesic,0.2809,85.97,58.41,75.58,80.03,0.3713,2.3,51.58
S0006,wetland_saturated,0.6181,73.13,72.17,27.9,46.63,0.4642,3.9,41.35
S0007,prairie_mesic,0.3173,96.86,65.8,74.76,55.8,0.3523,2.7,46.53
S0008,prairie_mesic,0.2725,86.53,49.08,66.52,60.43,0.4315,2.2,46.42
S0009,wetland_saturated,0.7819,66.61,0.0,107.04,78.52,0.7572,4.2,98.44
S0010,prairie_mesic,0.3827,88.63,81.52,62.05,70.38,0.4901,3.7,56.79
S0011,prairie_mesic,0.1834,89.44,77.63,56.37,37.86,0.3667,1.5,42.11
S0012,wetland_saturated,0.9502,45.04,0.0,119.46,77.52,0.7599,4.7,192.64
S0013,prairie_mesic,0.3115,104.92,55.05,91.64,65.93,0.4963,2.0,56.05
S0014,prairie_mesic,0.2969,89.22,43.5,38.28,72.73,0.3369,2.5,48.56
S0015,prairie_mesic,0.2022,123.51,106.57,21.08,23.78,0.3182,1.7,33.25
S0016,wetland_saturated,0.6148,71.29,47.0,30.17,44.56,0.4484,2.8,39.25
S0017,wetland_saturated,0.7647,61.45,38.95,79.32,56.16,0.6204,3.9,74.38
S0018,prairie_mesic,0.0887,148.31,104.93,19.0,3.39,0.2573,1.0,11.25
S0019,prairie_mesic,0.3567,77.77,78.37,89.6,27.96,0.5954,2.1,59.58
S0020,wetland_saturated,0.7968,37.48,21.66,90.71,61.96,0.74,4.3,84.63
S0021,prairie_mesic,0.3294,103.64,74.81,80.57,60.15,0.4648,2.2,53.58
S0022,prairie_mesic,0.2113,93.47,92.69,52.06,49.79,0.4421,1.5,39.56
S0023,wetland_saturated,0.6834,60.24,45.78,61.27,60.88,0.4705,3.9,55.63
S0024,wetland_saturated,0.5866,65.13,54.85,44.08,62.12,0.4583,3.8,40.97
S0025,wetland_saturated,0.8605,64.33,2.05,86.23,73.45,0.6911,4.5,120.66
S0026,prairie_mesic,0.0945,108.57,129.08,19.65,26.69,0.3446,1.4,13.65
S0027,prairie_mesic,0.292,90.94,55.59,59.13,58.2,0.3796,2.2,43.95
S0028,wetland_saturated,0.7991,64.38,13.09,71.46,50.58,0.726,4.1,87.5
S0029,prairie_mesic,0.255,93.84,84.84,46.33,39.8,0.3941,1.3,40.18
S0030,wetland_saturated,0.5937,64.31,55.98,40.08,73.59,0.4647,2.5,47.61
S0031,wetland_saturated,0.6906,56.21,28.99,67.7,27.05,0.5595,4.0,75.54
S0032,prairie_mesic,0.3317,75.23,70.39,67.83,49.68,0.3734,3.3,56.25
S0033,prairie_mesic,0.2019,106.17,88.61,47.6,36.73,0.3433,1.0,27.87
S0034,prairie_mesic,0.1182,120.01,76.22,23.24,43.67,0.3155,1.1,27.31
S0035,wetland_saturated,0.5908,73.58,53.54,56.12,38.23,0.3939,2.6,27.58
S0036,wetland_saturated,0.7174,55.36,13.26,76.0,69.01,0.6118,3.4,57.47
S0037,prairie_mesic,0.3807,89.47,30.4,78.56,71.09,0.5566,3.3,61.47
S0038,prairie_mesic,0.3239,81.81,61.6,82.76,84.43,0.5102,2.4,57.43
S0039,wetland_saturated,0.9541,60.16,10.41,91.56,89.56,0.9396,4.4,221.74
S0040,wetland_saturated,0.7493,74.54,23.74,74.33,74.15,0.6697,3.7,92.55
S0041,prairie_mesic,0.1689,107.99,102.14,32.25,51.47,0.3614,2.4,27.68
S0042,prairie_mesic,0.3212,95.13,33.97,64.71,53.45,0.5888,3.0,54.41
S0043,wetland_saturated,0.9137,55.42,0.0,118.14,100.0,0.8379,4.4,193.62
S0044,wetland_saturated,0.7454,62.61,46.14,96.46,60.94,0.6482,2.9,97.53
S0045,prairie_mesic,0.4268,108.36,39.6,75.48,58.06,0.6282,2.9,69.08
S0046,prairie_mesic,0.2377,105.95,88.44,52.03,45.43,0.4443,2.0,32.77
S0047,prairie_mesic,0.328,69.49,48.73,80.31,56.5,0.3693,2.1,53.22
S0048,wetland_saturated,0.646,70.38,45.21,37.58,70.92,0.5074,3.3,51.05
S0049,prairie_mesic,0.2633,104.73,56.61,56.52,55.93,0.3937,2.4,54.82
S0050,prairie_mesic,0.3912,88.91,63.68,123.0,66.05,0.6107,2.9,67.3
S0051,wetland_saturated,0.9038,69.41,4.78,105.48,70.79,0.924,4.5,166.21
S0052,wetland_saturated,0.8085,51.26,8.61,72.66,64.44,0.6667,4.3,93.03
S0053,wetland_saturated,0.8466,45.05,0.0,90.75,75.81,0.9044,4.0,131.96
S0054,prairie_mesic,0.1964,111.27,93.95,13.31,27.17,0.2792,1.3,21.69
S0055,wetland_saturated,0.6405,46.11,25.87,35.08,60.39,0.4152,2.6,53.18
S0056,wetland_saturated,0.9114,56.62,9.23,91.9,73.0,0.7958,4.2,177.37
S0057,prairie_mesic,0.3721,103.84,95.81,94.75,63.73,0.4992,3.6,66.16
S0058,wetland_saturated,0.72,38.2,53.44,54.74,78.15,0.5968,3.3,61.36
S0059,prairie_mesic,0.1118,105.88,112.25,46.01,32.08,0.3113,1.9,17.69
S0060,prairie_mesic,0.1013,107.25,98.56,20.05,26.84,0.3633,1.6,17.63
S0061,wetland_saturated,0.8461,60.48,0.0,106.31,67.1,0.7768,4.7,132.26
S0062,wetland_saturated,0.5729,74.51,33.82,28.99,49.32,0.3777,3.7,28.34
S0063,wetland_saturated,0.6372,79.11,61.18,52.41,47.34,0.5569,3.4,67.39
S0064,prairie_mesic,0.4027,101.04,43.74,121.58,71.02,0.5917,2.5,67.29
S0065,prairie_mesic,0.0901,127.69,94.04,21.03,16.57,0.1893,1.4,7.96
S0066,wetland_saturated,0.6986,67.05,41.61,50.52,46.24,0.4738,3.4,51.47
S0067,wetland_saturated,0.5851,75.51,33.42,59.58,43.67,0.5246,3.5,43.96
S0068,wetland_saturated,0.6885,51.37,18.85,58.7,66.19,0.4556,4.4,54.75
S0069,prairie_mesic,0.267,100.95,66.03,58.79,53.21,0.3706,1.9,53.05
S0070,prairie_mesic,0.2589,81.75,57.47,71.75,54.61,0.4837,2.9,49.54
S0071,wetland_saturated,0.8638,70.58,0.0,76.04,64.4,0.7703,3.8,142.22
S0072,wetland_saturated,0.7372,71.9,3.65,84.2,86.58,0.7402,4.4,84.03
S0073,prairie_mesic,0.3226,91.84,69.96,57.32,61.34,0.4524,2.7,50.2
S0074,wetland_saturated,0.8455,58.01,7.73,93.82,71.91,0.6706,3.8,114.05
S0075,prairie_mesic,0.3147,93.7,58.62,85.07,79.85,0.4472,2.0,64.34
S0076,wetland_saturated,0.9061,28.25,11.88,105.42,80.44,0.8566,4.1,167.53
S0077,prairie_mesic,0.1973,114.38,89.27,36.46,36.24,0.3327,1.8,37.94
S0078,prairie_mesic,0.297,89.33,60.71,54.99,49.56,0.3868,2.1,47.72
S0079,wetland_saturated,0.6314,66.28,52.64,55.65,63.39,0.4022,3.4,40.39
S0080,wetland_saturated,0.6836,65.72,37.1,60.95,57.17,0.5619,3.4,67.95
S0081,prairie_mesic,0.2166,104.8,83.18,45.57,64.12,0.321,2.8,34.09
S0082,wetland_saturated,0.7655,45.69,19.76,65.51,58.1,0.6525,4.0,96.6
S0083,wetland_saturated,0.5973,70.09,37.96,37.52,36.04,0.4051,3.4,35.81
S0084,wetland_saturated,0.7397,58.57,12.33,91.3,50.07,0.681,3.8,72.05
S0085,prairie_mesic,0.3308,90.27,70.58,77.19,75.3,0.3449,2.2,54.82
S0086,prairie_mesic,0.3127,91.1,68.05,65.75,72.85,0.4198,3.3,59.37
S0087,wetland_saturated,0.6035,88.39,59.74,43.84,22.46,0.4991,2.6,36.67
S0088,wetland_saturated,0.5984,58.2,52.77,48.59,47.44,0.4628,3.4,38.1
S0089,prairie_mesic,0.1337,122.98,103.55,22.45,12.45,0.3325,1.0,6.31
S0090,wetland_saturated,0.8002,75.02,18.67,79.59,86.99,0.8638,4.7,113.94
S0091,wetland_saturated,0.6552,43.74,54.68,54.61,47.21,0.5397,3.6,65.3
S0092,wetland_saturated,0.7406,61.21,46.93,57.73,42.71,0.5413,3.1,64.3
S0093,prairie_mesic,0.1461,113.38,99.79,24.66,26.11,0.2469,1.3,16.62
S0094,wetland_saturated,0.6587,60.47,63.81,67.56,26.61,0.5432,3.1,47.22
S0095,wetland_saturated,0.7855,49.85,15.15,81.4,83.72,0.7738,4.1,111.48
S0096,wetland_saturated,0.9354,52.34,12.41,108.38,87.81,0.8419,4.6,204.82
S0097,wetland_saturated,0.864,81.63,8.96,104.23,99.32,0.7909,3.7,141.84
S0098,prairie_mesic,0.3085,76.15,67.37,50.05,47.98,0.5516,3.1,48.77
S0099,wetland_saturated,0.9105,45.82,0.0,110.96,95.83,0.8773,3.5,175.59
S0100,prairie_mesic,0.0871,108.69,116.28,15.91,18.69,0.1876,1.0,2.63
S0101,prairie_mesic,0.1755,129.47,133.43,52.8,32.61,0.3048,1.3,23.74
S0102,prairie_mesic,0.1323,108.94,89.03,31.31,28.25,0.3568,1.4,17.84
S0103,prairie_mesic,0.3433,88.81,59.02,76.19,77.58,0.463,3.2,63.78
S0104,prairie_mesic,0.3804,84.84,50.57,58.92,50.25,0.3988,3.8,52.59
S0105,wetland_saturated,0.8551,50.48,0.0,94.97,100.0,0.8454,4.4,142.23
S0106,wetland_saturated,0.6186,68.11,72.15,57.73,58.67,0.5452,2.5,37.21
S0107,wetland_saturated,0.6384,91.91,33.31,63.04,45.3,0.465,2.7,59.72
S0108,prairie_mesic,0.2246,117.22,74.02,59.81,57.24,0.4582,2.0,37.32
S0109,wetland_saturated,0.9351,45.33,0.0,117.74,74.69,0.9034,4.5,197.39
S0110,prairie_mesic,0.1663,125.16,87.81,40.19,39.27,0.3771,1.7,25.38
S0111,prairie_mesic,0.3567,79.87,33.0,86.06,38.46,0.386,2.6,62.9
S0112,prairie_mesic,0.3935,72.16,64.69,109.4,64.84,0.652,3.2,65.45
S0113,prairie_mesic,0.1664,126.67,138.24,35.73,9.85,0.2281,1.0,20.92
S0114,prairie_mesic,0.144,127.07,89.47,41.7,36.06,0.406,1.6,21.55
S0115,prairie_mesic,0.3578,100.99,31.75,61.62,70.36,0.406,2.0,60.0
S0116,prairie_mesic,0.2263,97.2,95.17,24.98,57.53,0.3516,1.0,36.81
S0117,wetland_saturated,0.6311,65.38,35.05,36.03,49.85,0.4784,2.6,48.6
S0118,wetland_saturated,0.9632,62.56,22.4,99.22,86.02,0.7494,4.9,211.68
S0119,wetland_saturated,0.5733,81.78,48.93,50.89,50.81,0.3021,2.9,32.31
S0120,wetland_saturated,0.9168,52.37,0.0,120.77,86.36,0.8593,3.7,188.72
S0121,prairie_mesic,0.1743,91.14,86.42,51.25,22.32,0.4283,1.7,29.51
S0122,wetland_saturated,0.8283,62.43,18.21,75.65,82.76,0.6997,3.6,126.83
S0123,prairie_mesic,0.1378,132.59,99.03,9.75,31.04,0.1859,1.6,10.65
S0124,wetland_saturated,0.6493,54.79,39.23,40.94,54.85,0.4459,3.0,22.12
S0125,prairie_mesic,0.1454,128.23,100.09,9.13,32.18,0.1994,1.4,18.62
S0126,prairie_mesic,0.3254,96.2,49.51,57.41,60.56,0.5045,1.6,43.7
S0127,wetland_saturated,0.9129,64.35,8.72,105.88,100.0,0.8444,4.1,192.84
S0128,prairie_mesic,0.2454,107.46,49.39,6.15,32.93,0.4311,2.5,38.52
S0129,wetland_saturated,0.5705,68.77,45.96,42.94,53.57,0.5036,3.3,34.9
S0130,wetland_saturated,0.5739,59.56,64.49,76.9,38.98,0.4151,3.1,35.6
S0131,wetland_saturated,0.66,56.4,44.35,60.03,50.88,0.5873,3.6,56.77
S0132,prairie_mesic,0.2004,111.85,90.17,69.92,56.2,0.4661,1.4,39.06
S0133,wetland_saturated,0.7371,52.01,19.61,90.44,61.55,0.7188,4.1,86.41
S0134,wetland_saturated,0.954,44.74,20.66,129.91,84.63,0.9123,4.5,217.04
S0135,wetland_saturated,0.8042,40.81,22.04,78.63,95.3,0.7531,4.3,115.45
S0136,wetland_saturated,0.9182,78.97,9.61,123.86,83.77,0.8308,4.9,173.08
S0137,wetland_saturated,0.79,69.08,24.98,67.08,91.49,0.6701,4.3,107.5
S0138,wetland_saturated,0.9401,69.27,14.73,126.32,66.61,0.7998,4.5,150.5
S0139,wetland_saturated,0.6672,72.45,32.44,59.48,60.36,0.5,3.7,65.44
S0140,wetland_saturated,0.7131,64.97,10.93,29.96,82.11,0.6308,3.9,69.72
S0141,wetland_saturated,0.617,64.18,51.91,45.65,50.6,0.4706,4.0,61.67
S0142,prairie_mesic,0.3462,88.0,71.18,83.04,71.75,0.446,2.1,60.04
S0143,prairie_mesic,0.2906,89.35,87.31,89.72,56.01,0.3863,1.7,45.9
S0144,prairie_mesic,0.3693,118.29,43.12,87.58,48.8,0.5053,2.1,62.93
S0145,prairie_mesic,0.2425,100.01,57.12,58.55,85.21,0.3305,2.4,45.35
S0146,prairie_mesic,0.2564,91.39,81.28,54.77,43.4,0.4372,1.9,42.82
S0147,prairie_mesic,0.1051,124.44,99.63,40.55,29.96,0.1902,1.3,20.79
S0148,wetland_saturated,0.9046,50.01,0.0,103.7,97.99,0.7969,4.2,156.68
S0149,prairie_mesic,0.3,108.66,73.47,57.26,61.35,0.3936,2.8,52.02
S0150,prairie_mesic,0.3711,82.21,28.98,65.21,58.88,0.491,1.9,60.39
S0151,prairie_mesic,0.3139,94.79,43.05,67.83,58.97,0.5054,3.0,68.9
S0152,prairie_mesic,0.1078,131.04,120.97,16.78,28.09,0.2497,1.4,15.44
S0153,prairie_mesic,0.1427,123.37,127.84,23.08,18.76,0.4051,1.1,10.94
S0154,wetland_saturated,0.8155,60.23,0.0,62.24,57.64,0.7035,2.7,91.13
S0155,prairie_mesic,0.4188,90.76,50.59,100.58,58.12,0.5875,2.0,70.91
S0156,prairie_mesic,0.2026,98.97,78.99,36.21,59.48,0.4126,2.6,39.31
S0157,wetland_saturated,0.8147,53.67,37.73,112.4,56.09,0.6191,3.9,103.34
S0158,prairie_mesic,0.1566,113.16,91.87,43.23,29.0,0.343,1.0,18.04
S0159,wetland_saturated,0.6387,78.64,32.81,33.53,62.27,0.4269,3.8,46.79
S0160,wetland_saturated,0.6716,61.19,63.21,15.51,49.94,0.6119,2.6,60.4
S0161,prairie_mesic,0.2322,92.42,74.51,40.38,49.98,0.291,1.7,39.86
S0162,wetland_saturated,0.7333,52.13,35.58,69.26,55.01,0.6307,3.7,80.28
S0163,wetland_saturated,0.6117,77.96,22.38,66.09,51.76,0.5004,4.2,54.8
S0164,wetland_saturated,0.7919,66.96,10.13,72.74,91.87,0.7703,3.4,106.89
S0165,prairie_mesic,0.2294,105.49,53.13,77.98,46.77,0.4355,2.5,39.95
S0166,prairie_mesic,0.1353,114.98,83.09,28.45,23.51,0.3138,1.3,13.9
S0167,wetland_saturated,0.6306,73.35,58.37,44.06,32.92,0.5088,2.8,69.2
S0168,wetland_saturated,0.919,49.8,1.97,111.61,100.0,0.8367,5.0,176.72
S0169,wetland_saturated,0.9218,54.68,0.0,116.08,81.83,0.8968,4.5,169.72
S0170,prairie_mesic,0.4243,102.19,44.0,81.42,70.78,0.5464,2.5,72.2
S0171,wetland_saturated,0.9455,62.9,0.0,123.48,89.54,0.8775,4.4,212.08
S0172,wetland_saturated,0.9403,43.0,7.48,135.48,97.22,0.8638,4.4,205.61
S0173,wetland_saturated,0.6344,59.34,62.13,42.01,56.29,0.5371,3.0,50.87
S0174,prairie_mesic,0.0921,120.12,60.84,19.23,40.89,0.2074,1.3,13.16
S0175,prairie_mesic,0.1738,132.43,81.54,18.96,25.78,0.3359,1.6,21.98
S0176,wetland_saturated,0.6187,50.35,51.91,37.46,38.75,0.4351,3.0,37.76
S0177,prairie_mesic,0.3222,92.44,60.15,63.92,61.72,0.4369,2.7,57.38
S0178,wetland_saturated,0.9772,37.05,9.19,124.58,87.44,0.9265,4.8,220.01
S0179,wetland_saturated,0.6615,52.38,37.66,62.88,61.7,0.5272,3.7,62.21
S0180,wetland_saturated,0.7401,54.66,11.61,74.69,63.17,0.7756,3.6,87.07
S0181,wetland_saturated,0.7241,53.66,21.57,65.71,60.8,0.6078,3.6,73.88
S0182,prairie_mesic,0.3447,83.13,55.11,89.47,68.82,0.4623,3.9,59.22
S0183,prairie_mesic,0.3978,90.61,72.82,102.95,53.66,0.6011,2.9,66.51
S0184,prairie_mesic,0.3627,83.69,45.61,80.66,30.69,0.5365,2.7,61.51
S0185,prairie_mesic,0.1114,106.25,103.73,21.08,30.05,0.2481,1.0,12.14
S0186,prairie_mesic,0.371,97.65,60.82,76.67,49.61,0.4678,3.3,55.78
S0187,wetland_saturated,0.6374,77.94,71.56,54.63,49.76,0.4525,3.7,46.96
S0188,wetland_saturated,0.5919,85.05,47.78,23.28,37.48,0.3333,2.9,27.84
S0189,wetland_saturated,0.69,40.94,40.75,62.8,60.61,0.6451,3.8,82.44
S0190,wetland_saturated,0.7721,61.23,39.37,65.7,54.19,0.6577,4.7,93.07
S0191,wetland_saturated,0.6072,86.12,52.77,57.62,68.17,0.387,3.0,24.8
S0192,wetland_saturated,0.7884,47.17,13.81,71.17,79.38,0.6513,4.2,96.45
S0193,prairie_mesic,0.1976,103.43,77.85,18.75,38.19,0.3918,1.7,35.37
S0194,wetland_saturated,0.9668,51.72,0.0,115.68,100.0,0.823,4.4,216.96
S0195,prairie_mesic,0.3961,110.11,69.02,100.7,68.26,0.4462,3.4,56.68
S0196,prairie_mesic,0.2773,118.67,79.18,83.88,52.42,0.3927,1.7,42.81
S0197,wetland_saturated,0.7291,39.51,26.64,88.84,59.53,0.5123,4.4,70.75
S0198,prairie_mesic,0.1212,146.98,84.09,16.14,25.46,0.2612,1.7,18.42
S0199,wetland_saturated,0.6365,60.8,34.6,28.76,44.86,0.3542,3.0,36.57
S0200,wetland_saturated,0.7037,70.0,65.33,37.13,60.39,0.5542,3.0,64.61
S0201,wetland_saturated,0.7465,68.94,15.66,63.09,76.97,0.5787,3.4,95.95
S0202,wetland_saturated,0.6251,60.84,38.17,34.41,34.33,0.5344,3.0,40.43
S0203,wetland_saturated,0.6414,74.69,69.29,26.5,52.95,0.3961,2.1,58.38
S0204,prairie_mesic,0.231,99.39,83.77,21.04,39.08,0.3166,1.8,36.75
S0205,wetland_saturated,0.82,66.42,18.62,62.14,76.83,0.7181,3.8,114.53
S0206,prairie_mesic,0.1328,120.39,96.89,15.71,47.16,0.2892,1.4,19.77
S0207,wetland_saturated,0.7991,71.45,13.4,93.0,82.16,0.5591,4.1,82.43
S0208,prairie_mesic,0.0966,121.68,100.07,4.0,24.8,0.29,1.1,12.49
S0209,prairie_mesic,0.1292,115.56,77.71,18.79,34.19,0.3042,1.4,15.47
S0210,prairie_mesic,0.2032,117.84,84.26,36.76,21.47,0.3796,2.2,34.24
S0211,wetland_saturated,0.9623,60.8,7.34,101.8,98.16,0.8454,5.0,189.22
S0212,wetland_saturated,0.8067,69.15,34.95,78.67,75.11,0.7858,3.8,108.83
S0213,wetland_saturated,0.8554,53.59,4.87,104.33,78.08,0.8745,4.0,143.18
S0214,prairie_mesic,0.3575,79.22,20.47,103.65,71.45,0.6229,2.7,65.61
S0215,prairie_mesic,0.1862,103.09,88.1,48.8,50.62,0.4623,1.1,31.7
S0216,wetland_saturated,0.8483,54.43,45.27,110.26,50.96,0.6368,4.4,138.14
S0217,prairie_mesic,0.2761,100.77,80.85,68.27,41.93,0.3395,2.3,49.59
S0218,wetland_saturated,0.7457,68.62,14.13,69.31,76.06,0.6889,4.3,78.7
S0219,wetland_saturated,0.9454,50.42,12.01,121.34,100.0,0.95,5.0,207.63
S0220,prairie_mesic,0.1154,136.99,92.0,34.01,39.98,0.2275,1.0,18.83
S0221,prairie_mesic,0.2662,108.57,49.84,66.2,80.71,0.3656,1.7,48.71
S0222,wetland_saturated,0.9338,60.49,0.0,92.23,72.56,0.8163,4.4,179.78
S0223,wetland_saturated,0.7445,48.81,27.09,66.5,57.78,0.72,3.1,77.44
S0224,prairie_mesic,0.3059,106.77,33.77,67.2,52.24,0.4009,2.4,58.45
S0225,prairie_mesic,0.2895,90.54,48.95,73.45,60.95,0.3043,2.7,53.53
S0226,prairie_mesic,0.3655,90.39,58.97,77.65,61.1,0.4823,2.6,56.21
S0227,wetland_saturated,0.7036,56.02,28.62,54.1,81.86,0.5264,3.0,68.14
S0228,prairie_mesic,0.1583,99.41,95.28,53.55,55.72,0.3967,1.7,31.52
S0229,wetland_saturated,0.9442,40.29,0.0,97.28,88.07,0.95,4.7,193.5
S0230,prairie_mesic,0.1661,115.83,99.71,52.5,33.3,0.2719,1.8,26.95
S0231,prairie_mesic,0.1434,112.17,84.77,7.48,16.18,0.2629,1.3,5.18
S0232,prairie_mesic,0.2132,141.53,112.55,44.24,41.77,0.4197,2.1,25.91
S0233,prairie_mesic,0.3042,78.78,39.47,56.94,45.89,0.4442,2.6,57.53
S0234,prairie_mesic,0.2234,88.48,65.22,23.12,50.19,0.4068,1.7,33.52
S0235,prairie_mesic,0.1539,120.18,101.52,26.35,36.39,0.231,2.0,31.11
S0236,wetland_saturated,0.9392,73.98,27.68,112.24,89.09,0.9084,3.2,176.0
S0237,wetland_saturated,0.7281,58.55,30.34,97.65,46.59,0.5733,4.0,76.09
S0238,wetland_saturated,0.6852,67.59,46.54,59.02,67.18,0.5015,2.6,57.71
S0239,prairie_mesic,0.3233,69.9,64.23,69.19,71.51,0.3629,2.6,52.86
S0240,prairie_mesic,0.297,82.57,48.19,99.36,57.79,0.4257,2.2,61.4
S0241,wetland_saturated,0.8693,49.09,0.0,87.32,79.47,0.6842,4.2,144.21
S0242,wetland_saturated,0.8594,39.98,0.0,89.74,80.41,0.832,4.8,154.16
S0243,wetland_saturated,0.7448,59.47,0.0,63.06,53.15,0.6376,2.9,83.87
S0244,prairie_mesic,0.0453,98.62,112.33,28.79,26.34,0.0578,1.8,4.5
S0245,wetland_saturated,0.808,44.74,0.0,95.16,60.44,0.6964,3.7,102.76
S0246,prairie_mesic,0.3493,83.84,67.62,60.51,65.86,0.2917,1.7,57.95
S0247,prairie_mesic,0.3061,83.7,49.54,75.86,48.95,0.3461,2.0,54.36
S0248,wetland_saturated,0.8523,65.12,7.88,91.44,83.44,0.7531,3.8,160.81
S0249,wetland_saturated,0.7459,61.26,19.21,61.72,43.16,0.5693,3.5,82.24
S0250,wetland_saturated,0.7204,69.92,56.67,63.73,54.2,0.5431,4.2,67.07
S0251,prairie_mesic,0.1979,113.24,89.51,40.7,49.12,0.3581,2.3,30.85
S0252,prairie_mesic,0.4005,103.28,74.02,93.42,77.23,0.5654,3.9,66.2
S0253,prairie_mesic,0.0483,122.95,94.36,25.8,7.6,0.2128,1.7,10.22
S0254,prairie_mesic,0.2853,95.89,69.43,80.05,41.86,0.3065,2.7,45.15
S0255,wetland_saturated,0.795,65.98,0.0,91.42,71.7,0.7013,3.8,107.43
S0256,prairie_mesic,0.2262,103.48,74.95,70.72,35.82,0.4862,1.4,35.62
S0257,prairie_mesic,0.0825,116.58,98.8,32.32,11.85,0.1915,1.2,19.53
S0258,wetland_saturated,0.9665,48.93,0.0,140.13,100.0,0.8596,5.0,218.25
