Abbreviation,Preferred_Name,Status,Resolved_Query,CID,Message
TFA,Trifluoroacetic acid,resolved,trifluoroacetic acid,6422,ok
PFPrA,Perfluoropropionic acid,resolved,perfluoropropionic acid,62356,ok
PFBA,Perfluorobutanoic acid,resolved,perfluorobutanoic acid,9777,ok
PFPeA,Perfluoropentanoic acid,resolved,perfluoropentanoic acid,75921,ok
PFHxA,Perfluorohexanoic acid,resolved,perfluorohexanoic acid,67542,ok
PFHpA,Perfluoroheptanoic acid,resolved,perfluoroheptanoic acid,67818,ok
PFOA,Perfluorooctanoic acid,resolved,perfluorooctanoic acid,9554,ok
PFNA,Perfluorononanoic acid,resolved,perfluorononanoic acid,67821,ok
PFDA,Perfluorodecanoic acid,resolved,perfluorodecanoic acid,9555,ok
PFUnDA,Perfluoroundecanoic acid,resolved,perfluoroundecanoic acid,77222,ok
PFDoDA,Perfluorododecanoic acid,resolved,perfluorododecanoic acid,67545,ok
PFTrDA,Perfluorotridecanoic acid,resolved,perfluorotridecanoic acid,3018355,ok
PFTeDA,Perfluorotetradecanoic acid,resolved,perfluorotetradecanoic acid,67822,ok
PFHxDA,Perfluorohexadecanoic acid,resolved,perfluorohexadecanoic acid,106027,ok
PFOcDA,Perfluorooctadecanoic acid,resolved,perfluorooctadecanoic acid,167547,ok
PFMS,Perfluoromethanesulfonic acid,resolved,perfluoromethanesulfonic acid,62406,ok
PFEtS,Perfluoroethanesulfonic acid,resolved,perfluoroethanesulfonic acid,10219841,ok
PFPrS,Perfluoropropanesulfonic acid,resolved,perfluoropropanesulfonic acid,9859771,ok
PFBS,Perfluorobutanesulfonic acid,resolved,perfluorobutanesulfonic acid,67815,ok
PFPeS,Perfluoropentanesulfonic acid,resolved,perfluoropentanesulfonic acid,75922,ok
PFHxS,Perfluorohexanesulfonic acid,resolved,perfluorohexanesulfonic acid,67734,ok
PFHpS,Perfluoroheptanesulfonic acid,resolved,perfluoroheptanesulfonic acid,67820,ok
PFOS,Perfluorooctanesulfonic acid,resolved,perfluorooctanesulfonic acid,74483,ok
PFNS,Perfluorononanesulfonic acid,resolved,perfluorononanesulfonic acid,86998,ok
PFDS,Perfluorodecanesulfonic acid,resolved,perfluorodecanesulfonic acid,67636,ok
PFDoS,Perfluorododecanesulfonic acid,resolved,perfluorododecanesulfonic acid,3018866,ok
4:2 FTS,4:2 Fluorotelomer sulfonic acid,resolved,4:2 fluorotelomer sulfonic acid,20734543,ok
6:2 FTS,6:2 Fluorotelomer sulfonic acid,resolved,6:2 fluorotelomer sulfonic acid,119688,ok
8:2 FTS,8:2 Fluorotelomer sulfonic acid,resolved,8:2 fluorotelomer sulfonic acid,3016044,ok
10:2 FTS,10:2 Fluorotelomer sulfonic acid,resolved,10:2 fluorotelomer sulfonic acid,23136180,ok
4:2 FTOH,4:2 Fluorotelomer alcohol,resolved,4:2 fluorotelomer alcohol,74883,ok
6:2 FTOH,6:2 Fluorotelomer alcohol,resolved,6:2 fluorotelomer alcohol,69537,ok
8:2 FTOH,8:2 Fluorotelomer alcohol,resolved,8:2 fluorotelomer alcohol,69619,ok
10:2 FTOH,10:2 Fluorotelomer alcohol,resolved,10:2 fluorotelomer alcohol,70083,ok
3:3 FTCA,3:3 Fluorotelomer carboxylic acid,resolved,3:3 fluorotelomer carboxylic acid,2774909,ok
5:3 FTCA,5:3 Fluorotelomer carboxylic acid,resolved,5:3 fluorotelomer carboxylic acid,14632790,ok
7:3 FTCA,7:3 Fluorotelomer carboxylic acid,resolved,7:3 FTCA,2783376,ok
9:3 FTCA,9:3 Fluorotelomer carboxylic acid,resolved,9:3 fluorotelomer carboxylic acid,23136203,ok
6:2 FTUCA,6:2 Fluorotelomer unsaturated carboxylic acid,resolved,6:2 FTUCA,85976247,ok
8:2 FTUCA,8:2 Fluorotelomer unsaturated carboxylic acid,resolved,8:2 FTUCA,71404795,ok
FOSA,Perfluorooctanesulfonamide,resolved,perfluorooctanesulfonamide,69785,ok
