Abbreviation,Preferred_Name,Resolved_Query,PubChem_CID,MolecularFormula,CanonicalSMILES,IsomericSMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,PFAS_Class,Carbon_Count,Fluorine_Count,Oxygen_Count,Sulfur_Count,Nitrogen_Count,Chlorine_Count,Bromine_Count,Iodine_Count,Phosphorus_Count,Estimated_Fluorinated_Carbons,Ether_Oxygen_Count,Carboxylate_Flag,Sulfonate_Flag,Sulfonamide_Flag,Ether_Flag,Halogen_Count
6:2 FTA,6:2 Fluorotelomer acrylate,6:2 fluorotelomer acrylate,87149,C11H7F13O2,,,418.15,5.5,26.3,0,15,9,26,Acrylate,11,13,2,0,0,0,0,0,0,7,2,0,0,0,0,13
8:2 FTA,8:2 Fluorotelomer acrylate,8:2 fluorotelomer acrylate,119747,C13H7F17O2,,,518.17,6.9,26.3,0,19,11,32,Acrylate,13,17,2,0,0,0,0,0,0,9,2,0,0,0,0,17
Perfluorobutyl methyl ether,Perfluorobutyl methyl ether,perfluorobutyl methyl ether,164514,C5H3F9O,,,250.06,3.3,9.2,0,10,3,15,Ether,5,9,1,0,0,0,0,0,0,5,1,0,0,0,1,9
PFMOAA,Perfluoromethoxyacetic acid,PFMOAA,5125273,C3HF5O3,,,180.03,1.6,46.5,1,8,2,11,Ether acid,3,5,3,0,0,0,0,0,0,3,1,1,0,0,1,5
PFMPA,Perfluoro-3-methoxypropanoic acid,perfluoro-3-methoxypropanoic acid,120228,C4HF7O3,,,230.04,2.3,46.5,1,10,3,14,Ether acid,4,7,3,0,0,0,0,0,0,4,1,1,0,0,1,7
PFO2HxA,"Perfluoro-3,5-dioxahexanoic acid","perfluoro-3,5-dioxahexanoic acid",138394354,C4HF7O4,,,246.04,2.3,55.8,1,11,4,15,Ether acid,4,7,4,0,0,0,0,0,0,4,2,1,0,0,1,7
PFMBA,Perfluoro-4-methoxybutanoic acid,perfluoro-4-methoxybutanoic acid,12498036,C5HF9O3,,,280.04,3.0,46.5,1,12,4,17,Ether acid,5,9,3,0,0,0,0,0,0,5,1,1,0,0,1,9
PFO3OA,"Perfluoro-3,5,7-trioxaoctanoic acid","perfluoro-3,5,7-trioxaoctanoic acid",87185480,C5HF9O5,,,312.04,3.1,65.0,1,14,6,19,Ether acid,5,9,5,0,0,0,0,0,0,5,3,1,0,0,1,9
HFPO-DA,Hexafluoropropylene oxide dimer acid,hexafluoropropylene oxide dimer acid,114481,C6HF11O3,,,330.05,3.6,46.5,1,14,4,20,Ether acid,6,11,3,0,0,0,0,0,0,6,3,0,0,0,1,11
PFO4DA,"Perfluoro-3,5,7,9-tetraoxadecanoic acid","perfluoro-3,5,7,9-tetraoxadecanoic acid",57358057,C6HF11O6,,,378.05,3.8,74.2,1,17,8,23,Ether acid,6,11,6,0,0,0,0,0,0,6,4,1,0,0,1,11
ADONA,ADONA,ADONA,52915299,C7H2F12O4,,,378.07,4.1,55.8,1,16,7,23,Ether acid,7,12,4,0,0,0,0,0,0,6,4,0,0,0,1,12
Nafion BP2,Nafion byproduct 2,Nafion byproduct 2,14317645,C7H2F14O5S,,,464.13,4.2,81.2,1,19,7,27,Ether sulfonate,7,14,5,1,0,0,0,0,0,7,2,0,1,0,1,14
9Cl-PF3ONS,9-chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,9Cl-PF3ONS,22568738,C8HClF16O4S,,,532.58,5.3,72.0,1,20,9,30,Ether sulfonate,8,16,4,1,0,1,0,0,0,8,1,0,1,0,1,17
11Cl-PF3OUdS,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,15099039,C10HClF20O4S,,,632.6,6.7,72.0,1,24,11,36,Ether sulfonate,10,20,4,1,0,1,0,0,0,10,1,0,1,0,1,21
FOSA,Perfluorooctanesulfonamide,perfluorooctanesulfonamide,69785,C8H2F17NO2S,,,499.15,4.8,68.5,1,20,7,29,FOSA,8,17,2,1,1,0,0,0,0,8,0,0,0,1,0,17
